time_tag,density,speed,temperature
2025-12-26 06:00:00,1.16,535.7,127955.0
2025-12-26 06:01:00,1.15,537.2,126849.0
2025-12-26 06:03:00,1.31,523.3,134186.0
2025-12-26 06:04:00,1.41,525.6,126246.0
2025-12-26 06:05:00,1.51,527.8,118818.0
2025-12-26 06:07:00,1.44,527.7,134143.0
2025-12-26 06:08:00,1.44,527.7,134143.0
2025-12-26 06:11:00,1.48,,
2025-12-26 06:12:00,1.48,527.1,144072.0
2025-12-26 06:13:00,1.84,538.0,175378.0
2025-12-26 06:14:00,1.84,538.2,175909.0
2025-12-26 06:15:00,1.5,538.1,126253.0
2025-12-26 06:16:00,1.38,539.3,139047.0
2025-12-26 06:17:00,1.35,539.6,142586.0
2025-12-26 06:19:00,1.44,533.5,145701.0
2025-12-26 06:20:00,1.4,533.4,145850.0
2025-12-26 06:21:00,1.35,533.4,145989.0
2025-12-26 06:23:00,1.61,532.2,133945.0
2025-12-26 06:24:00,1.58,532.4,137912.0
2025-12-26 06:25:00,1.48,532.9,149812.0
2025-12-26 06:27:00,2.12,,
2025-12-26 06:28:00,2.12,533.1,112239.0
2025-12-26 06:29:00,1.54,532.6,148728.0
2025-12-26 06:30:00,1.53,532.6,149347.0
2025-12-26 06:31:00,1.4,526.3,142208.0
2025-12-26 06:32:00,1.47,529.7,141552.0
2025-12-26 06:33:00,1.49,530.6,141371.0
2025-12-26 06:35:00,1.63,527.9,130056.0
2025-12-26 06:36:00,1.42,530.6,124613.0
2025-12-26 06:37:00,1.22,533.1,119521.0
2025-12-26 06:39:00,1.35,539.9,141787.0
2025-12-26 06:40:00,1.36,542.7,152172.0
2025-12-26 06:41:00,1.4,550.9,183328.0
2025-12-26 06:43:00,1.08,,
2025-12-26 06:44:00,1.08,565.8,106145.0
2025-12-26 06:45:00,2.51,542.7,363913.0
2025-12-26 06:46:00,2.53,542.3,368282.0
2025-12-26 06:47:00,1.52,533.9,119267.0
2025-12-26 06:48:00,1.33,534.4,107678.0
2025-12-26 06:49:00,1.27,534.5,104473.0
2025-12-26 06:51:00,1.33,536.3,108249.0
2025-12-26 06:52:00,1.28,537.1,105345.0
2025-12-26 06:53:00,1.24,537.8,102628.0
2025-12-26 06:55:00,1.29,530.8,99766.0
2025-12-26 06:56:00,1.3,530.4,105267.0
2025-12-26 06:57:00,1.33,529.4,121772.0
2025-12-26 06:58:00,1.16,529.8,109616.0
2025-12-26 06:59:00,1.17,529.7,111015.0
2025-12-26 07:00:00,1.41,527.6,137608.0
2025-12-26 07:01:00,1.83,547.4,208932.0
2025-12-26 07:02:00,1.84,547.8,210141.0
2025-12-26 07:03:00,1.28,532.1,99225.0
2025-12-26 07:04:00,1.35,527.5,113505.0
2025-12-26 07:05:00,1.37,526.3,117454.0
2025-12-26 07:07:00,1.4,524.8,95169.0
2025-12-26 07:08:00,1.4,525.3,109271.0
2025-12-26 07:09:00,1.4,525.8,122464.0
2025-12-26 07:11:00,1.33,524.5,102123.0
2025-12-26 07:12:00,1.33,524.5,102123.0
2025-12-26 07:15:00,1.25,,
2025-12-26 07:16:00,1.25,526.8,100595.0
2025-12-26 07:17:00,1.66,535.7,126515.0
2025-12-26 07:18:00,1.67,535.9,126954.0
2025-12-26 07:19:00,1.29,524.2,95141.0
2025-12-26 07:20:00,1.23,526.5,106023.0
2025-12-26 07:21:00,1.82,533.6,112413.0
2025-12-26 07:22:00,2.06,536.1,113750.0
2025-12-26 07:23:00,1.64,513.1,63130.0
2025-12-26 07:24:00,1.54,517.9,94012.0
2025-12-26 07:25:00,1.43,522.3,122902.0
2025-12-26 07:27:00,1.1,521.7,117351.0
2025-12-26 07:28:00,1.18,521.8,123571.0
2025-12-26 07:29:00,1.41,522.2,142229.0
2025-12-26 07:31:00,1.27,,
2025-12-26 07:32:00,1.27,517.1,137051.0
2025-12-26 07:33:00,0.77,492.3,112161.0
2025-12-26 07:34:00,0.76,491.9,111739.0
2025-12-26 07:35:00,1.29,524.4,124830.0
2025-12-26 07:36:00,1.25,525.9,146305.0
2025-12-26 07:37:00,1.24,526.3,152244.0
2025-12-26 07:39:00,1.12,537.9,106636.0
2025-12-26 07:40:00,1.23,539.7,131684.0
2025-12-26 07:41:00,1.34,541.4,155116.0
2025-12-26 07:43:00,1.03,549.2,170836.0
2025-12-26 07:44:00,1.07,549.3,166377.0
2025-12-26 07:45:00,1.18,549.6,153000.0
2025-12-26 08:16:00,1.84,526.9,131829.0
2025-12-26 08:17:00,1.84,526.9,131829.0
2025-12-26 08:19:00,2.01,,
2025-12-26 08:20:00,2.01,543.0,142131.0
2025-12-26 08:21:00,2.01,,
2025-12-26 08:23:00,1.83,527.5,115398.0
2025-12-26 08:24:00,1.88,532.1,121000.0
2025-12-26 08:25:00,1.74,530.2,126726.0
2025-12-26 08:26:00,1.68,528.9,128378.0
2025-12-26 08:27:00,1.94,521.4,60035.0
2025-12-26 08:28:00,2.07,521.7,83088.0
2025-12-26 08:29:00,2.03,520.8,129189.0
2025-12-26 08:30:00,1.83,519.5,159177.0
2025-12-26 08:31:00,1.96,530.8,145739.0
2025-12-26 08:32:00,2.08,530.1,140301.0
2025-12-26 08:33:00,2.42,527.9,123986.0
2025-12-26 08:35:00,2.44,,
2025-12-26 08:36:00,2.44,520.3,113731.0
2025-12-26 08:37:00,2.15,533.4,99710.0
2025-12-26 08:38:00,2.15,533.6,99472.0
2025-12-26 08:40:00,1.92,530.7,81925.0
2025-12-26 08:41:00,1.48,537.1,77755.0
2025-12-26 08:42:00,1.31,539.7,76106.0
2025-12-26 08:43:00,1.84,526.0,109050.0
2025-12-26 08:44:00,1.98,528.3,111956.0
2025-12-26 08:45:00,2.12,530.4,114674.0
2025-12-26 08:47:00,1.2,507.6,78248.0
2025-12-26 08:48:00,1.46,510.8,90160.0
2025-12-26 08:49:00,2.21,520.2,125895.0
2025-12-26 08:51:00,1.67,,
2025-12-26 08:52:00,1.67,510.2,121438.0
2025-12-26 08:53:00,2.1,528.3,133575.0
2025-12-26 08:54:00,2.1,528.6,133781.0
2025-12-26 08:55:00,2.33,526.4,109687.0
2025-12-26 08:56:00,1.83,519.7,89400.0
2025-12-26 08:57:00,2.36,528.4,107834.0
2025-12-26 08:58:00,2.63,532.6,117340.0
2025-12-26 08:59:00,2.43,519.4,113694.0
2025-12-26 09:00:00,2.33,520.9,117111.0
2025-12-26 09:01:00,2.39,523.1,122209.0
2025-12-26 09:02:00,2.59,523.9,124533.0
2025-12-26 09:03:00,1.59,526.6,103266.0
2025-12-26 09:04:00,1.67,526.2,109082.0
2025-12-26 09:05:00,1.92,525.0,126530.0
2025-12-26 09:07:00,0.76,,
2025-12-26 09:08:00,0.76,508.4,80982.0
2025-12-26 09:09:00,1.48,533.0,127507.0
2025-12-26 09:10:00,1.49,533.4,128296.0
2025-12-26 09:12:00,1.35,512.7,117850.0
2025-12-26 09:13:00,1.51,525.4,144933.0
2025-12-26 09:14:00,1.57,530.5,155640.0
2025-12-26 09:15:00,1.52,518.1,142696.0
2025-12-26 09:16:00,1.54,525.7,146792.0
2025-12-26 09:17:00,1.64,538.6,169853.0
2025-12-26 09:18:00,1.74,545.7,193355.0
2025-12-26 09:19:00,1.32,527.3,165611.0
2025-12-26 09:20:00,1.44,526.7,166290.0
2025-12-26 09:21:00,1.82,525.1,168329.0
2025-12-26 09:23:00,2.62,,
2025-12-26 09:24:00,2.62,546.3,116371.0
2025-12-26 09:28:00,1.41,538.4,136252.0
2025-12-26 09:29:00,1.43,537.1,123134.0
2025-12-26 09:30:00,1.44,536.6,117948.0
2025-12-26 09:31:00,1.41,521.4,144053.0
2025-12-26 09:32:00,1.89,520.5,145404.0
2025-12-26 09:33:00,2.72,523.4,117923.0
2025-12-26 09:34:00,3.2,528.2,82789.0
2025-12-26 09:35:00,0.81,498.8,87978.0
2025-12-26 09:36:00,1.19,504.7,99469.0
2025-12-26 09:37:00,2.33,522.4,133941.0
2025-12-26 09:39:00,2.01,,
2025-12-26 09:40:00,2.01,522.4,119986.0
2025-12-26 09:41:00,2.38,543.2,115581.0
2025-12-26 09:42:00,2.39,543.6,115506.0
2025-12-26 09:43:00,2.22,542.5,89694.0
2025-12-26 09:44:00,1.72,525.6,58928.0
2025-12-26 09:45:00,2.39,537.5,111896.0
2025-12-26 09:46:00,2.71,544.0,136201.0
2025-12-26 09:47:00,2.3,539.5,90775.0
2025-12-26 09:48:00,2.18,539.9,87157.0
2025-12-26 09:49:00,2.06,540.2,83773.0
2025-12-26 09:51:00,3.01,542.1,145986.0
2025-12-26 09:52:00,2.82,539.4,134962.0
2025-12-26 09:53:00,2.24,531.1,101890.0
2025-12-26 09:55:00,1.12,,
2025-12-26 09:56:00,1.12,518.9,49973.0
2025-12-26 09:57:00,1.83,532.9,83746.0
2025-12-26 10:03:00,1.87,526.6,123739.0
2025-12-26 10:04:00,2.07,525.3,119703.0
2025-12-26 10:05:00,2.27,524.0,115928.0
2025-12-26 10:07:00,2.36,542.7,120122.0
2025-12-26 10:08:00,2.29,539.4,118545.0
2025-12-26 10:09:00,2.09,529.8,113815.0
2025-12-26 10:11:00,2.82,,
2025-12-26 10:12:00,2.82,560.7,206568.0
2025-12-26 10:13:00,2.55,541.8,108485.0
2025-12-26 10:14:00,2.54,541.4,106822.0
2025-12-26 10:16:00,2.57,536.5,103663.0
2025-12-26 10:17:00,3.69,553.6,78858.0
2025-12-26 10:18:00,4.14,560.4,69051.0
2025-12-26 10:19:00,4.35,571.3,73679.0
2025-12-26 10:20:00,2.92,556.9,85907.0
2025-12-26 10:21:00,1.58,543.5,97347.0
2025-12-26 10:23:00,2.05,578.1,184524.0
2025-12-26 10:24:00,1.84,571.5,164027.0
2025-12-26 10:25:00,1.24,551.6,102535.0
2025-12-26 10:27:00,1.65,,
2025-12-26 10:28:00,1.65,581.9,212233.0
